№;Название;Описание;Цена;Описание к цене;Изображение;Дополнительное изображение
1;Hoya Alagensis;Форма роста лиана. Растение нуждается в опоре.  Темп роста выше среднего. Листься  ярко-зелёные, вытянутые, около 8-10см, несуккулентные. Отлично растёт на северных и восточных окнах. Полив по мере просыхания.Не терпит пересушку. Цветы собраны крупный зонтик. Приятно пахнут;120;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;alagensis.jpg;alagensis.jpg
;Hoya Albiflora;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Лстья сукккулентные около 15см, ширина около 6см.Цветы восковые, белые, 3-4см. В цветочном зонтике 15-20 штук. Цветы пахнут мускусом. Требует высокой влажности. Нуждается в хорошем освещении. Редкий сорт!;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;albiflora.jpg;albiflora.jpg
;Hoya Aldrichi;Форма роста лиана. Растение нуждается в опоре.  Темп роста быстрый.Листья насыщенно зелёного цвета, кожистые, овальные, около 7см. Нуждается в ярком рассеянном свете. Подходит новичку.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;aldrichii.jpg;aldrichii.jpg
;Hoya Archboldiana "YM Exellent";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 15 см, молодые насыщенно виннго цвета, с возрастом зеленеют. Цветы крупные, около 2,5см, собраны в рыхлый цветочный зонтик. Нуждается в ярком освещении. Переносит частичную просушку грунта.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;archiboldiana_exelent.jpg;archiboldiana_exelent.jpg
;Hoya Archiboldiana Pink;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 10-15 см,зелёные. Цветы крупные, около 2,5см, собраны в рыхлый цветочный зонтик. Нуждается в ярком освещении. Переносит частичную просушку грунта. Подходит новичку.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;archiboldiana_pink.jpg;archiboldiana_pink.jpg
;Hoya Archiboldiana White;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 10-15 см,зелёные. Цветы крупные, около 2,5см, собраны в рыхлый цветочный зонтик. Нуждается в ярком освещении. Переносит частичную просушку грунта.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;archiboldiana_white.jpg;archiboldiana_white.jpg
;Hoya Australis " Lisa ";Форма роста лиана/куст. Растение нуждается в опоре. Темп роста выше среднего.Листья глянцевые, около 4см, насыщенно-зелёные с кремово-белым краем. Молодые листья красные или розовые. Цветы собраны в довольно крупный, рыхлый зонтик. Приятно пахнут. Растение теплолюбиво, нуждается в ярком рассеяном свете. Плоив по мере просыхания грунта.Подходит новичку.;55;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;australis.jpg;australis.jpg
;Hoya Australis albomarginata;Форма роста лиана/куст. Растение нуждается в опоре. Темп роста средний. Листья глянцевые, около 5-6см, насыщенно-зелёные с салатовыми, жёлтыми и розовыми участками. Молодые листья красные или розовые. Цветы собраны в довольно крупный, рыхлый зонтик. Приятно пахнут. Растение теплолюбиво, нуждается в ярком рассеяном свете. Плоив по мере просыхания грунта. Подходит новичку.;60;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;australis_alba.jpg;australis_alba.jpg
;Hoya Balaensis "Hara Bara";Форма роста лиана. Растение нуждается в опоре.  Темп роста  быстрый. Листья около 8см, округлые с заострённым кончиком, фактурные. Нуждается в ярком освещении без прямых солнечных лучей, полив без сильных просушек. От интенсивности освещения зависит количество серебряного крапа. Подходит новичку.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;balaensis_h_b.jpg;balaensis_h_b.jpg
;Hoya Balaensis splash;Форма роста лиана. Растение нуждается в опоре. Темп роста  быстрый. Листья около 8см, округлые с заострённым кончиком,. Нуждается в ярком освещении без прямых солнечных лучей, полив без сильных просушек. От интенсивности освещения зависит количество  крапа. Под лампами крап розовеет. Подходит новичку.;180;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;balaensis_splash.jpg;balaensis_splash.jpg
;Hoya Benguetensis;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья около 7см, вытянутые, кожистые, при интенсивном освещении и под лампами приобретают бордовый оттенок. Переносит частичную просушку грунта. Соцветия собраны в рыхлый цветочный зонтик, окраска цветов варьируется в разных оттенках оранжевого.Цветы выделяют нектар.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;benguetensis.jpg;benguetensis.jpg
;Hoya Blashernaezii;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Размер листье от 10 до 20см, ширина  4-5см. В цветочном зонтике 15-30 колоколовидных, бледно-жёлтых цветов, диаметром 1,5см. Цветы приятно пахнут. Не терпит пересушку! Нуждается в притенении. Подходит новичку.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;blashernaezii.jpg;blashernaezii.jpg
;Hoya Brevialata splash;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья 4-7 см, шириной около 2 см. Полив умеренный, предпочитает повышенную влажность воздуха. Цветение длиться около 7 дней, цветы приятно пахнут.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;brevialata.jpg;brevialata.jpg
;Hoya Buotii;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья тонкие, травянисто-зелёные, около 6 см. Цветы сльно опушеные, золотисто-жёлтые. Растение нужно беречь от прямого солнца. Подходит новичку.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;buotii.jpg;buotii.jpg
;Hoya Callistophylla;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья светло-зелёные, с красивыми контрастными жилками. Предпочитает регулярную температуру 20-25градусов. Полив обильный, зимой умеренный.Нуждается в повышенной влажности.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;callistophylla.jpg;callistophylla.jpg
;Hoya Callistophylla short leaves form;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья светло-зелёные, с  контрастным тёмно-зелёным жилкованием. Предпочитает регулярную температуру 20-25градусов. Полив обильный, зимой умеренный.Нуждается в повышенной влажности.;120;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;callistophylla_short.jpg;callistophylla.jpg
;Hoya Callistophylla UT158;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Лстья очень эффектные, около 20см,салатового цвета с тёмно-зелёным рисунком. Край взрослого листа волнистый. Полив умеренный. Нуждается в притенении.;200;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;callistophylla_ut158.jpg;callistophylla_ut158.jpg
;Hoya Carmelae;Форма роста ампель/лиана. Растение нуждается в опоре. Темп роста средний. Листья мелкие, округлые, около 1.5см, на солнечном месте листья приобретают свекольный оттенок. Полив по мере высыханя.;70;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carmelae.jpg;carmelae.jpg
;Hoya Carnosa cv. "Brazil";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 5см, волнистые, центр листа окрашена в яркий кремово-жёотый цвет, по краю зелёный кант. Цветочный зонтик довольно крупный, цветы приятно пахнут. Не любит пересушек. Подходит новичку.;70;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carnosa_brazil.jpg;carnosa_brazil.jpg
;Hoya Carnosa cv. "Medio-picta aurea";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 5см, волнистые, практически вся поверхность листа окрашена в кремовые тона, по краю зелёный кант. Цветочный зонтик довольно крупный, цветы приятно пахнут. Не любит пересушек. Подходит новичку.;70;временно нет;carnosa_mediopicta.jpg;carnosa.jpg
;Hoya Carnosa cv. Suzi Q;;180;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carnosa_suzi_q.jpg;carnosa.jpg
;Hoya Carnosa "Exotika";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 7см, волнистые, центр листа окрашен в жёлтый с розовым. Цветочный зонтик крупный, цветы приятно пахнут. Не любит пересушек. Подходит новичку.;40;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carnosa_exotika.jpg;carnosa_exotika.jpg
;Hoya Carnosa "Grey Ghost";Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Лстья очень эффектного цвета - полностью серебряного цвета, может присутствовать опушение. Освещение яркое, без прямых солнечных лучей. Полив умеренный.;350;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carnosa_g_g.jpg;unknown_pic.jpg
;Hoya Carnosa "Grey Ghost" 1;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Лстья как буд-то седые, может присутствовать опушение. Освещение яркое, без прямых солнечных лучей. Полив умеренный.;350;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carnosa_g_g1.jpg;unknown_pic.jpg
;hoya Carnosa "Holliana";;-;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carnosa_holliana.jpg;carnosa_holliana.jpg
;Hoya Carnosa "Krimson queen";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый.  Листья около 7 см, край белый, у молодых листьев - ярко-розовый. Подходит новичку.;40;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carnosa_k_q.jpg;carnosa_k_q.jpg
;Hoya Carnosa variegated;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый.  Листья около 6 см, край белый, у молодых листьев - розовый. Форма более округлая, чем у сорта Krimson queen. Подходит новичку.;40;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;carnosa_var.jpg;carnosa_var.jpg
;Hoya Caudata green ;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 8 см, узкие. Лист жёсткий, поверхность шёлковая.  Нуждается в притенении. На ярком солнце листья бледнеют. Полив умеренный.;-;временно нет;caudata_green.jpg;caudata.jpg
;Hoya Caudata big and green leaves;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 17см, край волнистый, лист покрыт крупными серебряными крапом.  Молодой прирост окрашен в бронзовый. Нуждается в притенении. На ярком солне листья бледнеют. Полив умереный. Подходит новичку.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;caudata_big_and_green_leaves.jpg;caudata_big_and_green_leaves.jpg
;Hoya Caudata big and green leaves(шёлковый лст);Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 10см, лист жёсткий, поверхность шёлковая.  Молодой прирост окрашен в бронзовый. Нуждается в притенении. На ярком солнце листья бледнеют. Полив умеренный.;85;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;caudata_big_and_green.jpg;caudata_big_and_green.jpg
;Hoya Caudata "Gold orange flowers";Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 12см, лист тёмно-зелёный, жёсткий, поверхность шёлковая, покрыт яркими серебряными брызгами. Нуждается в притенении. Полив умереный.;-;временно нет;caudata_gold.jpg;caudata_gold.jpg
;Hoya Caudata Silver;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 15см, лист практически полностью залит серебром. Нуждается в притенении. Полив умереный.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;caudata_silver.jpg;caudata_silver.jpg
;Hoya Caudata splash;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 12см, лист тёмно-зелёный, жёсткий, часто покрыт серебряными брызгами. Нуждается в притенении. Полив умереный.;120;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;caudata_splash.jpg;caudata_splash.jpg
;Hoya Caudata tn99-008;Форма роста лиана. Самая мелколистная из всех caudata. Листья практически круглые, с заострённым кончиком. Полив с некоторой просушкой грунта, рассеянный свет. Подходит новичку!;-;временно нет;caudata_tn99_008.jpg;caudata_tn99_008.jpg
;Hoya Chewianum (sp. SR-40);новинка! Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Не любит пересушки, хорошо отзывается на частые опрыскивания. Освещение без прямых солнечных лучей. Охотно и обильно цветёт.;350;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;chewianum.jpg;chewianum.jpg
;Hoya Chlorantha;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья тонкие, травянистые. Цветы яблочно-зелёного цвета, собраны в зонтики по 8-10штук. Не терпит пересушку. Хорошо растёт на западных окнах.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;chlorantha.jpg;chlorantha.jpg
;Hoya Chlorantha var. Tutuilensis;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья тонкие, травянистые, молодые бордовые. Цветы с фиолетовато-бордовыми разводами, собраны в зонтики по 8-10штук. Не терпит пересушку. Хорошо растёт на западных окнах.;60;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;chlorantha_tutuilensis.jpg;chlorantha_tutuilensis.jpg
;Hoya Chuniana;Форма роста лиана. Растение нуждается в опоре. Листья около 8-10см.Темп роста выше среднего. Нуждается в притенении, предпочитает повышенную влажность. Цветение продолжается 3-4 дня, цветы приятно пахнут.;-;временно нет;chuniana.jpg;chuniana.jpg
;Hoya Cinommamifolia;Форма роста лиана. Растение нуждается в опоре. Темп роста нже среднего. Листья кожистые, с ярко выраженным жилкованием. Цветочный зонтик содержит 20-40 цветков. Цветы около 2х см, очень контрастные. Цветение длится около 5дней. Между поливами грун должен просыхать.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;cinnomamifolia.jpg;cinnomamifolia.jpg
;Hoya Citrina splash;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 10см, покрыты серебряным крапом. Цветы  белые, с жёлты центром, собраны в зонтик по 20-30 штук. Имеют приятный запах.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;citrina_splash.jpg;citrina_splash.jpg
;Hoya Clemensiorum;Форма роста лиана. Растение нуждается в опоре. Темп роста ниже среднего. Листья крупные, жёсткие, с чётким жилкованием. ;200;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;clemensiorum.jpg;clemensiorum.jpg
;Hoya Clemensiorum Long Leaves;Форма роста лиана. Растение нуждается в опоре. Темп роста ниже среднего. Лстья очень жёсткие, около 20см. Жилкование ярко выраженое, фактурное.;300;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;clemensiorum_l_l.jpg;clemensiorum.jpg
;Hoya Coriacea;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 15см, кожистые.Цветы светло-жёлтые, сильно опушеные, собраны в зонтике по 35-75 штук. Подходит новичку.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;coriacea.jpg;coriacea.jpg
;Hoya Coronaria;;-;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;coronaria.jpg;coronaria.jpg
;Hoya Cumingiana;Форма роста куст/лиана. Растение нуждается в опоре. Темп роста быстрый. Лист мелкий. Цветы собраны по 10 штук, ароматные, пахнут лимоном.;60;Цена указана за укоренённый черенок в три узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;cumingiana.jpg;cumingiana.jpg
;Hoya Curtisii;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья мелкие около 1.5см, суккулентные, серо-зелёные, покрыты крупным крапом. Цветы собраны в зонтик по 10-25 штук. Весны-осень полив обльный. Зимой содержание в прохладе.;60;Цена указана за укоренённый черенок в три узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;curtisii.jpg;curtisii.jpg
;Hoya Curtisii Silver;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья мелкие около 1.5см, суккулентные,полностью серебряные. Цветы собраны в зонтик по 10-25 штук. Весны-осень полив обльный. Зимой содержание в прохладе.;100;Цена указана за укоренённый черенок в 3узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;curtisii_silver.jpg;curtisii_silver.jpg
;Hoya Darwinii pink flowers ;;-;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;darwinii_pink.jpg;darwinii_pink.jpg
;Hoya Davidcummingii;Форма роста лиана. Растение нуждается в опоре.;40;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;davidcummingii.jpg;davidcummingii.jpg
;Hoya Dennisii;Форма роста лиана. Растение нуждается в опоре.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;dennisii.jpg;dennisii.jpg
;Hoya Densifolia;Форма роста куст/лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 4см. Цветы собраны по 10 штук, ароматные, пахнут лимоном.;60;временно нет;densifolia.jpg;densifolia.jpg
;Hoya Desvoeuxensis (H. Megalantha Pink);новинка!;-;временно нет;desvoeuxensis.jpg;desvoeuxensis.jpg
;Hoya Deykeae;Форма роста лиана. Растение нуждается в опоре.;80;временно нет;deykeae.jpg;deykeae.jpg
;Hoya Deykeae Splash;Форма роста лиана. Растение нуждается в опоре.;220;временно нет;deykeae_splash.jpg;deykeae.jpg
;Hoya Diptera splash;Форма роста лиана. Растение нуждается в опоре.;45;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;diptera_splash.jpg;diptera.jpg
;Hoya Diversifolia Blume;Форма роста лиана. Растение нуждается в опоре.;30;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;diversifolia_blume.jpg;diversifolia_blume.jpg
;Hoya Eliptica splash;Форма роста лиана. Растение нуждается в опоре.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;elliptica_splash.jpg;elliptica_splash.jpg
;Hoya Endauensis;Форма роста лиана. Растение нуждается в опоре.;80;Цена указана за укоренённый черенок в два узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;enduaensis.jpg;enduaensis.jpg
;Hoya Erythrina;Форма роста лиана. Растение нуждается в опоре.;70;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;erythrina.jpg;erythrina.jpg
;Hoya Erythrina "Cameron Island";Форма роста лиана. Растение нуждается в опоре.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;erythrina_cameron_island.jpg;erythrina_cameron_island.jpg
;Hoya Erythrostemma pink;Форма роста лиана. Растение нуждается в опоре.;50;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;erythrostemma.jpg;erythrostemma_p.jpg
;Hoya Erythrostemma white;Форма роста лиана. Растение нуждается в опоре.;50;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;erythrostemma.jpg;erythrostemma_w.jpg
;Hoya Excavata;Форма роста лиана. Растение нуждается в опоре.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;excavata.jpg;excavata.jpg
;Hoya Finlaysonii;Форма роста лиана. Растение нуждается в опоре.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii.jpg;finlaysonii.jpg
;Hoya Finlaysonii (Burma) sp. 298;;-;временно нет;finlaysonii_sp_298.jpg;finlaysonii.jpg
;Hoya Finlaysonii big dark leaves  ;Форма роста лиана. Растение нуждается в опоре. Темп роста средний.;-;временно нет;finlaysonii_big_dark_leaves.jpg;finlaysonii.jpg
;Hoya Finlaysonii EPC-317;Форма роста лиана. Растение нуждается в опоре.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_epc_317.jpg;finlaysonii_epc_317.jpg
;Hoya Finlaysonii EPC-318;Форма роста лиана. Растение нуждается в опоре.;-;временно нет;finlaysonii_epc318.jpg;finlaysonii.jpg
;Hoya Finlaysonii EPC-59;;-;временно нет;finlaysonii_epc_59.jpg;finlaysonii.jpg
;Hoya Finlaysonii "Nova";Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_nova.jpg;finlaysonii.jpg
;Hoya Finlaysonii splash & long leaf;Форма роста лиана. Растение нуждается в опоре.;-;временно нет;finlaysonii_splash_long_leaf.jpg;finlaysonii.jpg
;Hoya Finlaysonii splash EPC-143;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_splash.jpg;finlaysonii_splash.jpg
;Hoya Finlaysonii Trang splash;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_t_s.jpg;finlaysonii_splash.jpg
;Hoya Finlaysonii very large ovate leaves EPC-774;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_ovale.jpg;finlaysonii.jpg
